profit factor = -0.0670594927869
winning days = 774
average win = 0.0291382829665
sharpe ratio = 9.66092458073
max consecutive wins = 35
cumulative return = 81695731.0179
max consecutive losses = 4
information ratio = 0.608581044656
total days = 944
average loss = -1.97831631014
max daily return = 0.243717722594
reference cumulative return = 0.27604165477134646
average daily return = 0.019486706308
win rate = 0.8199152542372882
max daily drawdown = -0.191209997944
average_t_stats = [43.21330426009547, 83.347187143808696, 4.9922791108517108, 50.315709187191572, 156.67458864506122]
daily return stdev = 0.03201990347733949
max drawdown = 0.191209997944
total transaction fee = 0
losing days = 170

Date	Gain%	Val	Ref_value	Daily_fee
2013-07-05	1.46507%	185054887.35565	11182572.42785	0.00000
2013-07-08	13.11906%	209332354.60978	11179763.08291	0.00000
2013-07-09	13.62334%	237850421.92292	11181366.13521	0.00000
2013-07-10	3.18450%	245424767.54647	11233751.17082	0.00000
2013-07-11	0.22929%	245987510.62294	11252909.53883	0.00000
2013-07-12	2.42025%	251941017.52650	11301192.77745	0.00000
2013-07-15	-19.12100%	203767376.08334	11347474.63953	0.00000
2013-07-16	3.17761%	210242312.06615	11335458.72369	0.00000
2013-07-17	2.45371%	215401059.05565	11339165.06073	0.00000
2013-07-18	-1.61384%	211924836.40675	11365327.72495	0.00000
2013-07-19	0.76820%	213552847.93462	11389547.79973	0.00000
2013-07-22	-2.15981%	208940505.08606	11438296.10791	0.00000
2013-07-23	1.41063%	211887880.32625	11416194.28360	0.00000
2013-07-24	2.72468%	217661144.55944	11350813.09480	0.00000
2013-07-25	3.20895%	224645781.11976	11439333.75363	0.00000
2013-07-26	0.77633%	226389776.51542	11457485.71541	0.00000
2013-07-29	3.34002%	233951229.38686	11420824.17297	0.00000
2013-07-30	-0.25478%	233355162.08554	11393876.11291	0.00000
2013-07-31	1.45941%	236760771.06944	11402216.62532	0.00000
2013-08-01	0.82720%	238719263.93298	11451027.73563	0.00000
2013-08-02	3.28521%	246561688.95640	11488730.80178	0.00000
2013-08-05	-2.98035%	239213275.40377	11541971.01300	0.00000
