win rate = 0.8199152542372882
max daily return = 0.24215860476855822
average win = 0.02945605963759371
losing days = 170
reference cumulative return = 0.27604165477134734
max daily drawdown = -0.19192199774717544
total days = 944
max consecutive wins = 35
daily return stdev = 0.032131409284304455
max consecutive losses = 4
average_t_stats = [43.216896604244482, 83.349095554065102, 4.9921935853569082, 50.316036771418318, 156.67021092934567]
cumulative return = 98136036.61165214
information ratio = 0.6126323319448571
average daily return = 0.01968474019851807
profit factor = -0.0678019920395554
average loss = -1.977990657595038
total transaction fee = 4007388343673.145
winning days = 774
max drawdown = 0.19192199774717544
sharpe ratio = 9.72523677266198

Date	Gain%	Val	Ref_value	Daily_fee
2013-08-23	2.52%	358904163	11499006	20569
2013-08-26	4.94%	376616248	11493862	21937
2013-08-27	0.90%	380018944	11362708	26497
2013-08-28	2.31%	388793607	11397544	26615
2013-08-29	3.04%	400613348	11479223	21618
2013-08-30	0.20%	401416626	11379037	15421
2013-09-03	2.73%	412390524	11345860	22197
2013-09-04	-0.68%	409575551	11422332	28896
2013-09-05	4.60%	428409047	11469353	21098
2013-09-06	16.56%	499347686	11450552	67508
2013-09-09	2.66%	512655189	11543649	32101
2013-09-10	0.21%	513708944	11574295	32898
2013-09-11	9.35%	561726175	11591001	36148
2013-09-12	-0.02%	561638743	11546559	28925
2013-09-13	4.64%	587694285	11563371	32862
2013-09-16	2.44%	602047959	11477360	45138
2013-09-17	3.01%	620178580	11539813	34743
2013-09-18	4.45%	647805212	11613395	45281
2013-09-19	7.46%	696105303	11601197	38912
2013-09-20	4.32%	726190341	11583282	40682
2013-09-23	3.02%	748097901	11567461	46208
2013-09-24	2.62%	767661791	11601252	46018
2013-09-25	4.05%	798714581	11606064	43878
2013-09-26	2.88%	821740066	11631736	53026
2013-09-27	1.10%	830780902	11657091	54867
2013-09-30	-1.18%	820974993	11733329	54728
2013-10-01	1.39%	832393309	11844278	39693
2013-10-02	0.59%	837276152	11877200	54395
2013-10-03	1.98%	853880251	11814833	75349
2013-10-04	4.70%	893993606	11912208	64128
2013-10-07	4.56%	934785814	11906969	51183
2013-10-08	24.22%	1161152243	11720927	74119
2013-10-09	4.73%	1216058132	11657698	65465
2013-10-10	2.93%	1251629509	11760111	73561
2013-10-11	1.14%	1265925697	11888757	90321
2013-10-14	2.71%	1300275988	12001979	80324
2013-10-15	-2.48%	1267993685	11962074	498209
2013-10-16	1.03%	1281076959	12025099	69031
2013-10-17	2.39%	1311740852	12150311	60849
2013-10-18	3.78%	1361389033	12172824	72267
2013-10-21	4.53%	1423102010	12155382	70440
2013-10-22	6.44%	1514808127	12137406	76628
2013-10-23	0.36%	1520317036	12137213	79933
2013-10-24	1.18%	1538186966	12175765	69855
2013-10-25	2.22%	1572302036	12123951	68777
2013-10-28	2.61%	1613403455	12094673	88002
2013-10-29	1.28%	1634089193	12123445	96742
2013-10-30	-3.32%	1579820961	11992420	91404
2013-10-31	-1.60%	1554583878	11946657	64773
2013-11-01	0.55%	1563144269	11923003	71221
2013-11-04	1.64%	1588808422	11977770	68235
2013-11-05	-0.86%	1575086286	12002088	61995
2013-11-06	3.00%	1622416311	11919930	76302
2013-11-07	4.50%	1695442679	11732726	74921
2013-11-08	1.48%	1720558601	11896976	125534
2013-11-11	0.02%	1720889194	11927760	97158
2013-11-12	-1.57%	1693865058	11924314	90151
2013-11-13	0.57%	1703601184	12051110	108196
2013-11-14	0.73%	1716116689	12049868	89630
2013-11-15	-1.00%	1698909674	12105229	93637
2013-11-18	2.31%	1738101823	12013041	112956
2013-11-19	-4.23%	1664540779	11973545	98774
2013-11-20	0.58%	1674272350	11939232	84535
2013-11-21	0.62%	1684704203	12045295	99011
2013-11-22	2.22%	1722132774	12085590	94599
2013-11-25	0.70%	1734272059	12089104	93852
2013-11-26	4.07%	1804830764	12159719	83741
2013-11-27	2.57%	1851248339	12237961	97639
2013-11-28	1.96%	1887594229	12237961	492083
2013-11-29	3.27%	1949307963	12258227	107956
2013-12-02	-1.03%	1929247236	12165342	117380
2013-12-03	0.68%	1942416462	12145779	105282
2013-12-04	-1.94%	1904733154	12171279	116296
2013-12-05	9.04%	2076928790	12167049	115535
2013-12-06	2.75%	2134024032	12171788	117355
2013-12-09	4.17%	2222920225	12124148	103656
2013-12-10	3.14%	2292825211	12086598	107736
2013-12-11	1.84%	2334952764	11950273	116413
2013-12-12	0.38%	2343899453	11976170	113973
2013-12-13	2.42%	2400702808	12003514	145893
2013-12-16	4.12%	2499588191	12065102	161719
2013-12-17	0.55%	2513341043	12066663	116596
2013-12-18	-0.59%	2498626063	12149437	156094
2013-12-19	4.35%	2607240817	12160205	115090
2013-12-20	2.00%	2659341532	12291096	128208
2013-12-23	0.14%	2662950811	12361126	134960
2013-12-24	2.64%	2733121159	12415407	129852
2013-12-26	1.20%	2765880708	12429536	151006
2013-12-27	4.82%	2899152518	12403098	152248
2013-12-30	2.16%	2961787811	12418855	389672
2013-12-31	-0.26%	2954203552	12469912	110505
2014-01-02	-1.14%	2920651408	12466993	181537
2014-01-03	-2.30%	2853579989	12532666	166291
2014-01-06	0.87%	2878364272	12469528	158230
2014-01-07	-2.96%	2793224691	12547254	129228
2014-01-08	0.72%	2813404050	12593628	151966
2014-01-09	-4.71%	2680841666	12587943	131480
2014-01-10	-0.07%	2678930815	12620955	113631
2014-01-13	2.22%	2738514626	12502429	97205
2014-01-14	9.56%	3000398466	12603569	141639
2014-01-15	1.07%	3032479818	12667418	136282
2014-01-16	1.37%	3074120945	12719625	145181
