Date,int,prc,mom,hlv,vol,R^2,s_size
2013-05-31,-0.00438981,0.00008824,-0.03078447,-0.00258094,-0.00029093,0.04621919,2000
2013-06-03,-0.00046287,0.00042861,-0.06709847,0.00181857,0.00017401,0.03432677,2000
2013-06-04,0.00135307,-0.00046466,0.00799723,0.00081523,-0.00004064,0.00683004,2000
2013-06-05,-0.00080408,-0.00049517,-0.03656159,-0.00039678,-0.00051932,0.02135725,2000
2013-06-06,-0.00024612,0.00005077,0.05159638,0.00036512,-0.00008708,0.00809780,2000
2013-06-07,-0.00004294,0.00100676,0.01151413,0.00259884,-0.00002046,0.01343044,2000
2013-06-10,0.00018027,0.00032745,0.03077486,0.00147510,0.00026732,0.01622060,2000
2013-06-11,-0.01101662,0.00012688,-0.02872564,-0.00389256,-0.00071644,0.07163817,2000
2013-06-12,0.00039594,0.00122340,0.00689018,0.00555790,0.00092709,0.02425764,2000
2013-06-13,-0.00293719,0.00039352,-0.03716929,0.00050253,0.00014074,0.00664116,2000
2013-06-14,0.00069063,-0.00023410,-0.03076448,0.00220439,-0.00010116,0.01449116,2000
2013-06-17,0.00741742,-0.00014021,-0.02510336,0.00248110,0.00020886,0.02008818,2000
2013-06-18,-0.00243633,0.00086022,-0.01371323,0.00113263,-0.00004134,0.01439328,2000
2013-06-19,0.00079853,-0.00057975,-0.03056591,-0.00310186,0.00053805,0.00965113,2000
2013-06-20,-0.01422379,0.00109808,0.11648064,-0.00513712,-0.00067387,0.05381135,2000
2013-06-21,0.00194619,0.00046284,-0.07505603,0.00116835,0.00051112,0.03951176,2000
2013-06-24,-0.00986200,-0.00074490,-0.00110609,-0.00409700,-0.00074211,0.00552426,2000
2013-06-25,0.00395239,0.00107967,-0.04108474,0.00501699,0.00097621,0.07185998,2000
2013-06-26,0.00098628,0.00152374,0.02269109,0.00088617,0.00014938,0.01575666,2000
2013-06-27,0.00637757,-0.00031359,-0.03476239,0.00325763,0.00041247,0.00898623,2000
2013-06-28,-0.00145822,-0.00016667,-0.01408975,-0.00266952,-0.00053672,0.03313903,2000
2013-07-01,0.00755005,-0.00075438,-0.02232994,0.00383895,0.00034741,0.01066047,2000
2013-07-02,0.00018549,-0.00044426,0.00379645,0.00196402,-0.00029863,0.00319778,2000
2013-07-03,-0.00796702,0.00088695,-0.02054171,0.00252482,-0.00021134,0.02010528,2000
2013-07-04,-0.05856496,0.00266542,0.00057027,0.01205978,0.00977178,1.00000000,4
2013-07-05,0.00029603,0.00161231,0.04829145,0.00273112,0.00017707,0.02552790,2000
2013-07-08,0.00280834,0.00012654,0.03123163,0.00167807,0.00039346,0.02755275,2000
2013-07-09,0.00270684,0.00053822,-0.06130530,0.00306370,0.00086144,0.07564975,2000
2013-07-10,-0.00192991,0.00039876,-0.00109248,0.00074157,0.00024108,0.00761857,2000
2013-07-11,0.01032434,0.00036066,-0.03461153,0.00852010,0.00128007,0.09218824,2000
2013-07-12,-0.00248507,0.00048681,-0.07718129,-0.00051330,-0.00012737,0.03666192,2000
2013-07-15,0.00210902,-0.00031089,0.00940329,0.00192943,0.00014446,0.00635535,2000
2013-07-16,0.00077380,-0.00028602,0.02382951,0.00251778,0.00012357,0.00436681,2000
2013-07-17,0.00166556,0.00040472,0.00331524,0.00141451,0.00024955,0.01382534,2000
2013-07-18,0.00068932,0.00029294,0.00908543,0.00152550,-0.00023146,0.00130850,2000
2013-07-19,-0.00405833,0.00084368,-0.00856041,-0.00008928,0.00015725,0.01172469,2000
2013-07-22,0.00412371,-0.00092255,0.07503170,0.00472627,0.00033054,0.11210970,2000
2013-07-23,0.00525796,-0.00073559,0.02209599,0.00220315,0.00031881,0.02363002,2000
2013-07-24,-0.00066543,0.00075658,-0.05487390,0.00163845,0.00036333,0.02588816,2000
2013-07-25,-0.00464315,0.00073629,-0.01877831,0.00206936,-0.00025160,0.00658834,2000
2013-07-26,-0.00016625,-0.00153143,-0.00423439,-0.00294195,-0.00043484,0.00478439,2000
2013-07-29,-0.00235145,0.00007861,0.02344655,0.00215013,-0.00010753,0.01543689,2000
2013-07-30,0.00099399,0.00038022,-0.04764226,0.00228667,-0.00007248,0.00622036,2000
2013-07-31,-0.00267733,0.00122412,-0.00953640,0.00100703,-0.00001450,0.01463205,2000
2013-08-01,0.00243171,0.00140888,-0.02448844,0.00379364,0.00084650,0.04383601,2000
2013-08-02,0.00057340,-0.00055954,-0.01083757,0.00042974,-0.00015972,0.00405412,2000
2013-08-05,-0.00035370,-0.00033698,-0.02975610,0.00078099,-0.00013459,0.01262561,2000
2013-08-06,-0.00366322,0.00042557,0.02295004,-0.00036128,-0.00027826,0.00353942,2000
2013-08-07,-0.00221330,-0.00039092,-0.01501101,-0.00047244,-0.00006121,0.00295937,2000
2013-08-08,0.00345637,0.00023683,-0.04598308,0.00306541,0.00062658,0.02861662,2000
2013-08-09,0.00047550,-0.00051561,0.02513025,-0.00008181,0.00001810,0.00417165,2000
2013-08-12,0.00224560,-0.00157030,0.07136974,0.00139903,-0.00002572,0.05566617,2000
2013-08-13,-0.00107496,0.00039452,0.00685719,0.00240100,0.00050760,0.03501165,2000
2013-08-14,0.00084273,-0.00048548,-0.01912096,0.00099207,0.00017082,0.00889455,2000
2013-08-15,-0.00876277,-0.00006266,0.00000380,-0.00393900,-0.00091493,0.02037958,2000
2013-08-16,-0.00121568,-0.00027817,0.03973670,-0.00061028,0.00008776,0.01698527,2000
2013-08-19,0.00380774,-0.00189901,0.00584262,0.00218871,0.00029385,0.00326731,2000
2013-08-20,-0.00261400,0.00061842,-0.08004191,-0.00034652,0.00005819,0.00815743,2000
2013-08-21,-0.00437235,0.00041581,-0.04119190,0.00009461,-0.00012380,0.01262107,2000
2013-08-22,0.00421819,-0.00050908,0.00845149,0.00164586,0.00040167,0.01723740,2000
2013-08-23,0.00087114,0.00014699,-0.01774264,0.00070766,0.00060820,0.02801422,2000
2013-08-26,0.00030122,0.00013913,-0.00996283,0.00149487,0.00016663,0.01765419,2000
2013-08-27,-0.00471893,-0.00090462,0.04836260,-0.00067008,-0.00057985,0.00641667,2000
2013-08-28,-0.00220155,0.00038836,-0.09535283,0.00101939,-0.00031763,0.05108136,2000
2013-08-29,-0.00016379,-0.00018788,0.03178994,0.00134172,-0.00049034,0.01262453,2000
2013-08-30,0.00061818,-0.00007446,-0.03560538,-0.00025024,0.00047328,0.01363046,2000
2013-09-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,4
2013-09-03,0.00817987,0.00013879,-0.16774346,0.00325813,0.00103029,0.06553571,2000
2013-09-04,-0.00020847,-0.00009700,0.01493784,-0.00043274,-0.00009349,0.00040871,2000
2013-09-05,0.00123320,-0.00027485,-0.00660067,0.00195240,0.00023669,0.02551336,2000
2013-09-06,0.00661787,-0.00056393,-0.02911833,0.00420088,0.00068276,0.12380265,2000
2013-09-09,0.00780379,-0.00154943,-0.04069580,0.00341611,0.00028315,0.01239786,2000
2013-09-10,0.00066750,0.00048997,0.11153985,-0.00203026,0.00069557,0.02665038,2000
2013-09-11,-0.00218309,0.00019354,-0.03258443,0.00167849,0.00030271,0.01064186,2000
2013-09-12,-0.00395008,0.00084597,-0.02730209,-0.00073485,-0.00017492,0.01220952,2000
2013-09-13,-0.00022385,0.00063484,0.01819220,0.00183702,-0.00010791,0.02138287,2000
2013-09-16,0.00650419,0.00112974,0.01152852,0.00429895,0.00090911,0.10558537,2000
2013-09-17,0.00067713,-0.00022512,-0.01344621,0.00064482,0.00026727,0.01163679,2000
2013-09-18,-0.00130432,0.00024302,0.05067619,0.00077067,-0.00010681,0.02547348,2000
2013-09-19,-0.00127672,0.00077427,0.00611798,0.00281987,0.00037449,0.03582855,2000
2013-09-20,-0.00456680,0.00169763,0.00022731,0.00111003,-0.00045075,0.03657581,2000
2013-09-23,-0.00249664,0.00033198,-0.05798116,0.00036609,-0.00070162,0.04722084,2000
2013-09-24,-0.00192885,0.00055160,0.02328878,0.00105849,-0.00010721,0.01205637,2000
2013-09-25,-0.00032857,0.00026255,-0.10194533,0.00190446,0.00010493,0.07197083,2000
2013-09-26,-0.00183041,0.00091276,-0.01028032,0.00317330,0.00003422,0.04087218,2000
2013-09-27,-0.00187684,-0.00080882,-0.08362675,-0.00084377,-0.00017470,0.00548994,2000
2013-09-30,-0.00421693,-0.00091552,-0.05163395,-0.00342899,-0.00058808,0.00745756,2000
2013-10-01,-0.00182300,0.00056987,0.00853685,0.00007186,-0.00006616,0.00542428,2000
2013-10-02,-0.00301658,-0.00049409,-0.01413144,0.00126132,0.00003584,0.01174937,2000
2013-10-03,-0.00074065,-0.00018520,0.01930479,0.00134885,-0.00013759,0.01223753,2000
2013-10-04,-0.00111741,0.00015767,-0.01334525,-0.00051768,0.00031720,0.01055901,2000
2013-10-07,-0.00212178,-0.00128468,-0.05200770,-0.00142849,-0.00059481,0.06347159,2000
2013-10-08,0.00079889,-0.00021063,0.01124036,0.00151991,0.00002252,0.01518505,2000
2013-10-09,0.00036595,0.00012923,-0.01947727,0.00072392,0.00037353,0.00214824,2000
2013-10-10,0.00560291,0.00096630,-0.07659581,0.00652003,0.00069542,0.14055749,2000
2013-10-11,-0.00418587,0.00084484,-0.05870534,0.00026818,0.00011093,0.01603917,2000
2013-10-14,-0.00268412,-0.00045872,-0.07359547,-0.00067390,-0.00058095,0.06754540,2000
2013-10-15,-0.00190273,-0.00010578,0.01685813,0.00008084,-0.00006773,0.00151315,2000
2013-10-16,0.00049898,0.00119462,0.11201866,0.00265923,0.00061250,0.14053124,2000
2013-10-17,0.00238032,-0.00101099,-0.09059141,0.00118274,0.00026515,0.04041853,2000
2013-10-18,0.00346358,0.00031536,0.00561076,0.00497656,0.00009675,0.09193581,2000
2013-10-21,0.00149634,-0.00007225,-0.02596491,0.00261654,-0.00004541,0.01956128,2000
2013-10-22,0.00399480,-0.00020217,-0.01358841,0.00277505,0.00028212,0.02743728,2000
2013-10-23,-0.00332047,-0.00024146,0.01009753,-0.00331561,-0.00030326,0.02591417,2000
2013-10-24,0.00355835,-0.00055239,-0.04728423,0.00181311,0.00004636,0.01705401,2000
2013-10-25,-0.00074960,0.00065046,0.09735109,0.00128625,-0.00025208,0.04726389,2000
2013-10-28,0.00076897,-0.00022275,-0.02858943,0.00082110,0.00012987,0.01312808,2000
2013-10-29,0.00091188,0.00014631,-0.07715474,0.00204213,0.00022475,0.03419620,2000
2013-10-30,0.00136482,-0.00018315,-0.00762322,0.00115159,-0.00011831,0.00269870,2000
2013-10-31,-0.00215803,0.00042602,-0.05213951,-0.00167192,-0.00055652,0.01338741,2000
2013-11-01,-0.00178245,0.00044989,0.05700212,-0.00044830,0.00026515,0.01151368,2000
2013-11-04,0.00544099,-0.00098879,-0.02183975,0.00277201,0.00024674,0.00575252,2000
2013-11-05,-0.00457928,0.00031812,-0.01821512,0.00004839,-0.00041775,0.00444113,2000
2013-11-06,0.00192396,0.00047585,-0.04494876,0.00306982,0.00035479,0.04836843,2000
2013-11-07,-0.00077265,0.00052033,-0.01684853,0.00095961,0.00015779,0.00422967,2000
2013-11-08,-0.00512944,0.00112981,0.04311421,-0.00007419,0.00037672,0.00586609,2000
2013-11-11,-0.00087963,-0.00020004,-0.00677659,0.00136676,0.00020166,0.00051676,2000
2013-11-12,-0.00448788,0.00073256,-0.01258757,0.00003385,-0.00032399,0.00871116,2000
2013-11-13,-0.00488894,0.00009805,-0.00635851,-0.00066960,-0.00014951,0.00123385,2000
2013-11-14,0.00341655,-0.00062100,-0.05670248,0.00189301,0.00015468,0.01791940,2000
2013-11-15,0.00094744,0.00009692,-0.01987062,0.00115825,0.00002826,0.00863612,2000
2013-11-18,0.00287712,-0.00009858,-0.01434043,0.00254665,0.00011145,0.03311953,2000
2013-11-19,-0.00131146,0.00019182,0.05061190,0.00035674,0.00015311,0.00843741,2000
2013-11-20,-0.00084944,0.00057381,-0.04309436,0.00293884,0.00020032,0.02685628,2000
2013-11-21,-0.00008143,0.00082996,0.11250670,0.00182653,-0.00009846,0.06203833,2000
2013-11-22,0.00342050,-0.00079293,0.03569791,0.00234539,0.00012115,0.02684893,2000
2013-11-25,-0.00026003,0.00038311,0.04052539,0.00180255,-0.00001300,0.03041713,2000
2013-11-26,-0.00099609,0.00029411,0.03311009,0.00055202,0.00004729,0.00583831,2000
2013-11-27,0.00122399,-0.00014071,-0.06107900,-0.00022328,0.00054920,0.02445597,2000
2013-11-28,-0.07637869,0.00867588,-0.00171230,0.03370654,0.02182174,1.00000000,4
2013-11-29,0.00584258,-0.00084851,-0.01718326,0.00198832,-0.00019263,0.02466601,2000
2013-12-02,-0.00025531,-0.00020993,-0.10161443,0.00122589,-0.00058704,0.00609383,2000
2013-12-03,-0.00127472,-0.00044543,0.00299165,0.00049877,-0.00042636,0.01541419,2000
2013-12-04,-0.00459182,0.00022185,-0.10842907,0.00039743,-0.00055244,0.02751879,2000
2013-12-05,-0.00334217,0.00057096,-0.15762609,0.00105026,-0.00017999,0.04051933,2000
2013-12-06,0.00523143,0.00048268,0.01862016,0.00194145,0.00072062,0.02209436,2000
2013-12-09,0.00110820,-0.00008879,-0.03129688,0.00074681,0.00059409,0.02004637,2000
2013-12-10,0.00247766,-0.00119050,0.04276333,0.00063854,0.00033953,0.03279049,2000
2013-12-11,-0.00287716,0.00058031,-0.05463802,0.00245772,0.00043866,0.01841084,2000
